Music,Genre,SampleRate
"[-0.03338623 -0.05020142 -0.03128052 ... -0.0112915  -0.00750732
 -0.0085144 ]",blues,22050
"[ 0.03570557  0.05581665  0.04812622 ... -0.3829651  -0.410614
 -0.39138794]",blues,22050
"[-0.02020264 -0.03634644 -0.02706909 ...  0.01159668  0.01779175
  0.04614258]",blues,22050
"[-0.23886108 -0.41534424 -0.3161621  ... -0.00558472 -0.00338745
 -0.01620483]",blues,22050
"[-0.01669312 -0.02764893 -0.02191162 ...  0.12365723  0.13430786
  0.1262207 ]",blues,22050
[0.0552063  0.08731079 0.07107544 ... 0.02307129 0.03149414 0.01797485],blues,22050
"[-0.00354004  0.00198364 -0.01864624 ... -0.02862549 -0.01855469
 -0.00570679]",blues,22050
"[-0.10046387 -0.15109253 -0.15005493 ...  0.23175049  0.26260376
  0.25552368]",blues,22050
"[-0.00836182 -0.01040649 -0.01641846 ... -0.09402466 -0.11422729
 -0.16644287]",blues,22050
[0.01361084 0.02810669 0.03515625 ... 0.03616333 0.03378296 0.04040527],blues,22050
"[-0.03277588 -0.04876709 -0.04104614 ... -0.12219238 -0.15109253
 -0.17999268]",blues,22050
"[-0.17077637 -0.27716064 -0.26010132 ...  0.06536865  0.07171631
  0.06881714]",blues,22050
"[ 0.0017395   0.00390625  0.00375366 ... -0.08197021 -0.14053345
 -0.17556763]",blues,22050
"[-0.01089478 -0.01052856 -0.00549316 ... -0.10565186 -0.10415649
 -0.02426147]",blues,22050
"[-0.01055908 -0.01623535 -0.012146   ...  0.0675354   0.07672119
  0.07815552]",blues,22050
"[-0.0980835  -0.08453369 -0.06008911 ... -0.07894897 -0.11987305
 -0.04449463]",blues,22050
"[-0.03082275 -0.03540039 -0.03076172 ...  0.00561523  0.00332642
 -0.00238037]",blues,22050
[0.03710938 0.07446289 0.07992554 ... 0.04644775 0.02532959 0.01647949],blues,22050
"[-0.1104126  -0.16241455 -0.11431885 ...  0.1579895   0.0814209
  0.08309937]",blues,22050
"[ 0.11239624  0.14764404  0.11526489 ... -0.11135864 -0.10614014
 -0.07278442]",blues,22050
"[-0.01901245 -0.04046631 -0.05606079 ... -0.02963257  0.0111084
  0.00811768]",blues,22050
"[ 0.01647949  0.03048706  0.01889038 ... -0.12155151 -0.12945557
 -0.0958252 ]",blues,22050
"[-0.10806274 -0.15075684 -0.17327881 ... -0.10281372 -0.09716797
 -0.07785034]",blues,22050
"[ 0.21246338  0.31881714  0.17388916 ... -0.03594971 -0.04187012
 -0.02597046]",blues,22050
"[-0.04974365 -0.08596802 -0.08615112 ... -0.11828613 -0.1229248
 -0.11422729]",blues,22050
[0.06652832 0.09335327 0.04510498 ... 0.08078003 0.06115723 0.04190063],blues,22050
"[-0.21359253 -0.35723877 -0.31430054 ... -0.0574646  -0.01867676
 -0.01022339]",blues,22050
